"YEAR","Month","Region","Site","Location","Transect","Date.of.Data.Collection.","Date","Depth..m.","X..of.benth.points.","X..of.subst.points.","Analysis.by.","Date.of.Analysis.","Processing","Transect.Type","Method","Cycloceris.curvata..CCUR....coral","Diaseris.distorta..DDIS....coral","Gardineroseris.planulata..GPLA....coral","Gpla_BL","Leptoseris.scabra..LSCA....coral","Pavona.chiriquiensis..PCHI....coral","Pavona.clavus..PCLA....coral","Pavona.gigantea..PGIG....coral","Pgig_BL","Pavona.maldivensis..PMAL....coral","Pavona.varians..PVAR....coral","Pvar_BL","Pvar_Pale","Pavona.spp..PAVO....coral","Porites.lobata..PLOB....coral","Porites.panamensis..PPAN....coral","Ppan_BL","Psammocora.stellata..PSTE....coral","Psammocora.superficialis..PSUP....coral","Psammocora.spp..PSAM....coral","Pocillopora.capitata..PCAP....coral","Pocillopora.damicornis..PDAM....coral","Pdam_BL","Pdam_Pale","Pocillopora.effusus..PEFF....coral","Pocillopora.elegans..PELE....coral","Pele_BL","Pele_Pale","Pocillopora.eydouxi..PEYD....coral","Pocillopora.inflata..PINF....coral","Pocillopora.ligulata..PLIG....coral","Pocillopora.meandrina..PMEA....coral","Pocillopora.verrucosa..PVER....coral","Pocillopora.woodjonesi..PWOO....coral","Pocillopora.spp..POCI....coral","RecMort","Millepora.intricata..MINT....coral","Mint_BL","Millepora.platyphilla..MPLA....coral","Mpla_BL","Astrangia.browni..ABRO....aherm","Astrangia.equatorialis..AEQU....aherm","Caryophyllia.sp...CARYSPP....aherm","Cladopsammia.eguchii..CEGU....aherm","Cladopsammia.gracilis..CGRA....aherm","Culicia.stellata..CSTE....aherm","Oulangia.bradleyi..OBRA....aherm","Phyllangia.consagensis..PCON....aherm","Polycyathus.isabela..PISA....aherm","Rhizopsammia.verrilli..RVER....aherm","Rhizopsammia.wellingtoni..RWEL....aherm","Tubastraea.coccinea..TCOC....aherm","Tubastraea.faulkneri..TFAU....aherm","Tubastraea.floreana..TFLO....aherm","Tubastraea.tagusensis..TTAG....aherm","BLCHCoral","Coral..C.","Gorgonian..GO....go","Zoanthids..ZO....zo","Sponge..SPO....spo","Antipathes.galapagensis..AGAL....bcoral","Myriopathes.panamensis..MPAN....bcoral","Balanus..BALA....O","Algmt","AlgRub","Caulerpa..CAUL....maca","Caulerpa_Feather.CSER.","Caulerpa_Grape.CRAC.","Coralline.Algae..CALG....calg","Filamentous.Cyanobacteria..FLCY....maca","Laurencia","Macroalgae..MACA....maca","Peysonnelia","Turf","Other.Organism..O.","Dead.coral.w..turf.algae..DCA....dca","Dead.Frame","DAMFR","Boulder..B.","Sand.Sediment..S.","Rubble..R.","Pavement..P.","Unknown..UNK.","NA.LOSS","Tape.edge","Wand","Shadow","Pocillopora","Other_scleractinians","Millepora","Algae","Substrate","OtherOg","SUM_Raw","Sum_subTotals","All_Corals","Massive"
2015,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","1","08/21/15",2015-08-15,"1",330,330,"RJL","02/16/16","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,6.1,0,0,0,8.5,0,NA,0,7.6,0,0,0.3,0,0,0,0,49.5440729483283,0.60790273556231,0,33.1306990881459,16.1094224924012,0.303951367781155,100,100,50.15,0.60790273556231
2015,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","2","08/21/15",2015-08-15,"1",285,285,"RJL","02/16/16","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,3.2,0,0,0,13.1,0,NA,0,11,0,0,0,0,0,0,0,51.5901060070671,0,0,24.3816254416961,24.0282685512367,0,100,100,51.59,0
2015,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","3","08/21/15",2015-08-15,"1",285,285,"RJL","02/16/16","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,32,0,0,6,0,0,0,10.3,0,NA,0,0.7,0,0,0,0,0,0,0,50.1779359430605,0,0,38.0782918149466,11.0320284697509,0.711743772241993,100,100,50.18,0
2015,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","4","08/21/15",2015-08-15,"1",225,225,"RJL","02/16/16","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,4,0,0,0,4.9,0,NA,0,0,0,0,0,0,0,0,0,74.6666666666667,0,0,20.4444444444444,4.88888888888889,0,100,100,74.67,0
2015,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","5","08/21/15",2015-08-15,"1",300,300,"RJL","02/16/16","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,11.2,0,0,0,11.2,0,NA,0,2,0,0,0,0,0,0,0,58.1632653061225,2.04081632653061,0,26.530612244898,13.265306122449,0,100,100,60.2,2.04081632653061
2015,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","6","08/21/15",2015-08-15,"1",270,270,"RJL","02/16/16","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0,0,3.8,0,0,0,16,0,NA,0,1.5,0,0,0,0,0,0,0,60.4562737642585,0,0,22.0532319391635,17.4904942965779,0,100,100,60.46,0
2016,"Apr","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","1","04/19/16",2016-04-15,"2",525,525,"RJL","05/11/17","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,6.5,0,0,0,37.9,0,NA,0,4.4,3,0,0,0,0,0,0,43.4285714285714,0,0,11.2380952380952,45.3333333333333,0,100,100,43.43,0
2016,"Apr","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","2","04/19/16",2016-04-15,"2",345,345,"RJL","05/11/17","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,2.6,0,0,0,27,0,NA,0,11.6,4.1,0,0,0,0,0,0,52.463768115942,0,0,4.92753623188406,42.6086956521739,0,100,100,52.46,0
2016,"Apr","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","3","04/19/16",2016-04-15,"2",465,465,"RJL","05/11/17","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,10.8,0,0,0,35.7,0,NA,0,0.6,0.2,0,0,0,0,0,0,50.1075268817204,0,0,13.3333333333333,36.5591397849462,0,100,100,50.11,0
2016,"Apr","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","4","04/19/16",2016-04-15,"2",465,465,"RJL","05/16/17","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,9,0,0,0,12.3,0,NA,0,0,0.6,0,0,0,0,0,0,77.6344086021505,0,0,9.46236559139785,12.9032258064516,0,100,100,77.63,0
2016,"Apr","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","5","04/19/16",2016-04-15,"2",496,496,"RJL","05/16/17","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,8.9,0,0,0,35.5,0,NA,0,0.2,0.6,0,0,0,0,0,0,54.2338709677419,0,0,9.4758064516129,36.2903225806452,0,100,100,54.23,0
2016,"Apr","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","6","04/19/16",2016-04-15,"2",525,525,"RJL","05/20/17","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,10.5,0,0,0,20.6,0,NA,0,1.9,1,0,0,0,0,0,0,64.1904761904762,0,0,12.3809523809524,23.4285714285714,0,100,100,64.19,0
2018,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","1","08/14/18",2018-08-15,"2",0,0,"VWB","08/27/20","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6762075134168,0,0,0,2.68336314847943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536672629695885,0,0,0.178890876565295,0,11.4490161001789,0,11.8067978533095,0,NA,0,4.83005366726297,9.83899821109123,0,0,0,0,0,0,61.3595706618962,0,0,12.1645796064401,26.4758497316637,0,100,100,61.36,0
2018,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","2","08/14/18",2018-08-15,"2",0,0,"VWB","08/27/20","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5009671179884,0,0,0,2.51450676982592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773694390715667,0,0,0,0,10.6382978723404,0,9.28433268858801,0,NA,0,1.54738878143133,1.74081237911025,0,0,0,0,0,0,76.0154738878143,0,0,11.4119922630561,12.5725338491296,0,100,100,76.02,0
2018,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","3","08/14/18",2018-08-15,"2",0,0,"VWB","08/27/20","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5536332179931,0,0,0,2.59515570934256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173010380622837,0,0,0,10.5536332179931,0,8.13148788927336,0,NA,0,2.07612456747405,15.916955017301,0,0,0,0,0,0,63.1487889273357,0,0,10.7266435986159,26.1245674740484,0,100,100,63.15,0
2018,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","4","08/14/18",2018-08-15,"2",0,0,"VWB","08/27/20","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.5331010452962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522648083623693,0,0,0,0,6.79442508710801,0,9.58188153310105,0,NA,0,0,1.56794425087108,0,0,0,0,0,0,81.5331010452962,0,0,7.3170731707317,11.1498257839721,0,100,100,81.53,0
2018,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","5","08/14/18",2018-08-15,"2",0,0,"VWB","08/27/20","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9269406392694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228310502283105,0,0,0,16.8949771689498,0,8.44748858447489,0,NA,0,0.228310502283105,10.2739726027397,0,0,0,0,0,0,63.9269406392694,0,0,17.1232876712329,18.9497716894977,0,100,100,63.93,0
2018,"Aug","Panama","Canal de Afuera-Reef","Canal de Afuera Reef","6","08/14/18",2018-08-15,"2",0,0,"VWB","08/27/20","CPCe over Image","Permanent-Photo","VideoTransect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9596122778675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323101777059774,0,0,0.161550888529887,0,10.3392568659128,0,8.23909531502423,0,NA,0,1.77705977382876,4.20032310177706,0,0,0,0,0,0,74.9596122778675,0,0,10.8239095315025,14.21647819063,0,100,100,74.96,0
